area;acertos;min;max;media;ano
MT;28;684,8;825,3;776,98;2015
MT;29;705,0;838,7;790,03;2015
MT;30;712,6;845,8;802,71;2015
MT;31;735,6;862,8;815,67;2015
MT;32;742,4;877,4;828,87;2015
MT;33;776,1;888,1;842,87;2015
MT;34;771,3;909,2;857,2;2015
MT;35;805,6;926,3;873,01;2015
MT;36;813,6;940,4;888,58;2015
MT;37;825,7;957,1;905,7;2015
MT;38;822,7;972,7;924,49;2015
MT;39;870,6;982,7;943,42;2015
MT;40;905,9;992,7;960,79;2015
MT;41;927,1;1000,7;977,25;2015
MT;42;960,3;1004;990,01;2015
MT;43;981,4;1006,2;998,39;2015
MT;44;996,3;1007,7;1004,14;2015
MT;45;1008,3;1008,3;1008,3;2015
CH;0;319,9;319,9;319,9;2016
CH;1;319,9;361;327,97;2016
CH;2;320,0;394,6;338,09;2016
CH;3;320,0;418,8;346,62;2016
CH;4;320,5;441,8;356,74;2016
CH;5;320,6;454,1;368;2016
CH;6;321,8;471,9;379,75;2016
CH;7;321,6;485,4;392,4;2016
CH;8;323,1;500,5;405,84;2016
CH;9;323,0;523,7;420,16;2016
CH;10;326,7;529,1;434,99;2016
CH;11;329,3;545,4;450,2;2016
CH;12;332,7;561,8;465,48;2016
CH;13;338,0;568,9;480,65;2016
CH;14;345,6;584,5;495,53;2016
CH;15;350,6;588,4;509,74;2016
CH;16;363,9;603,7;523,21;2016
CH;17;380,8;605,2;536,01;2016
CH;18;394,7;616,9;548,03;2016
CH;19;394,3;627,7;559,32;2016
CH;20;432,8;629,5;569,89;2016
CH;21;459,1;637,7;579,81;2016
CH;22;475,1;643,5;589,45;2016
CH;23;499,5;652,3;598,5;2016
CH;24;517,4;666,4;607,51;2016
CH;25;533,1;672,9;616,15;2016
CH;26;546,7;681,1;624,88;2016
CH;27;566,4;686,8;633,45;2016
CH;28;574,8;692,5;642,11;2016
CH;29;580,8;699,2;650,94;2016
CH;30;592,0;711,1;659,89;2016
CH;31;595,6;720;669,17;2016
CH;32;623,4;730,3;678,6;2016
CH;33;629,6;737,2;687,95;2016
CH;34;642,7;746,5;697,96;2016
CH;35;651,9;752,7;708,24;2016
CH;36;667,9;766;718,76;2016
CH;37;676,8;784,9;729,67;2016
CH;38;689,7;789,1;741,22;2016
CH;39;704,8;806,4;753,77;2016
CH;40;716,0;819,5;767,28;2016
CH;41;727,0;829,5;782,11;2016
CH;42;748,6;841,9;799,07;2016
CH;43;774,0;850,6;818,43;2016
CH;44;793,0;859,1;834,33;2016
CH;45;859,1;859,1;859,1;2016
CN;0;361,2;361,2;361,2;2016
CN;1;361,2;400,1;367,89;2016
CN;2;361,2;423,2;374,26;2016
CN;3;361,3;446,5;380,59;2016
CN;4;361,4;467,4;387,86;2016
CN;5;361,5;494,8;395,66;2016
CN;6;361,7;514;404,54;2016
CN;7;362,3;532,6;414,19;2016
CN;8;362,8;546,4;425,01;2016
CN;9;364,0;560,3;437,01;2016
CN;10;365,4;574,3;450,51;2016
CN;11;367,5;580,4;465,5;2016
CN;12;369,4;588,1;481,98;2016
CN;13;369,5;597,1;499,71;2016
CN;14;370,8;604,3;518,08;2016
CN;15;379,0;614,3;536,35;2016
CN;16;385,8;618,8;553,98;2016
CN;17;395,7;629;569,79;2016
CN;18;405,2;634,2;584,01;2016
CN;19;432,2;640,1;596,47;2016
CN;20;476,2;647,3;607,41;2016
CN;21;464,4;652,6;617,04;2016
CN;22;520,7;657,2;626,04;2016
CN;23;550,5;665,1;634,31;2016
CN;24;575,3;673,2;642,53;2016
CN;25;599,4;680,4;650,26;2016
CN;26;611,4;685,5;657,9;2016
CN;27;614,7;694,6;665,5;2016
CN;28;628,7;698,8;673,01;2016
CN;29;644,3;705,3;680,59;2016
CN;30;646,2;716,1;688,34;2016
CN;31;665,6;719,1;696,1;2016
